iter	Passed	Remaining
0	0	291
1	0	255
2	0	238
3	0	236
4	1	236
5	1	252
6	1	259
7	2	251
8	2	245
9	2	243
10	2	240
11	2	240
12	3	236
13	3	232
14	3	232
15	3	233
16	4	233
17	4	230
18	4	229
19	4	227
20	4	226
21	5	224
22	5	222
23	5	221
24	5	220
25	5	219
26	6	218
27	6	216
28	6	215
29	6	214
30	6	213
31	7	213
32	7	212
33	7	211
34	7	210
35	7	209
36	8	209
37	8	208
38	8	208
39	8	208
40	8	207
41	9	207
42	9	207
43	9	208
44	9	207
45	10	208
46	10	207
47	10	207
48	10	206
49	10	206
50	11	206
51	11	205
52	11	205
53	11	204
54	11	204
55	12	203
56	12	202
57	12	203
58	12	202
59	12	201
60	13	201
61	13	201
62	13	200
63	13	200
64	13	200
65	14	199
66	14	199
67	14	198
68	14	198
69	14	197
70	15	197
71	15	196
72	15	196
73	15	196
74	15	196
75	16	195
76	16	195
77	16	194
78	16	194
79	17	196
80	17	196
81	17	197
82	17	195
83	17	194
84	18	194
85	18	194
86	18	194
87	18	195
88	19	195
89	19	194
90	19	194
91	19	194
92	19	193
93	20	193
94	20	192
95	20	192
96	20	192
97	20	191
98	21	191
99	21	191
100	21	190
101	21	190
102	21	190
103	22	189
104	22	189
105	22	189
106	22	188
107	22	188
108	23	188
109	23	187
110	23	187
111	23	187
112	23	186
113	23	186
114	24	185
115	24	185
116	24	184
117	24	184
118	24	184
119	25	183
120	25	183
121	25	183
122	25	182
123	25	182
124	26	182
125	26	182
126	26	181
127	26	181
128	26	181
129	27	181
130	27	180
131	27	180
132	27	179
133	27	179
134	28	179
135	28	179
136	28	178
137	28	178
138	28	178
139	29	178
140	29	177
141	29	177
142	29	176
143	29	176
144	29	176
145	30	175
146	30	175
147	30	175
148	30	175
149	30	174
150	31	174
151	31	174
152	31	173
153	31	173
154	31	173
155	31	173
156	32	172
157	32	172
158	32	172
159	32	172
160	32	171
161	33	171
162	33	171
163	33	171
164	33	171
165	34	171
166	34	170
167	34	170
168	34	170
169	34	170
170	35	169
171	35	169
172	35	169
173	35	169
174	35	169
175	36	168
176	36	168
177	36	168
178	36	167
179	36	167
180	37	167
181	37	167
182	37	166
183	37	166
184	37	166
185	37	166
186	38	165
187	38	165
188	38	165
189	38	165
190	38	165
191	39	164
192	39	164
193	39	164
194	39	164
195	39	163
196	40	163
197	40	163
198	40	163
199	40	162
200	40	162
201	41	162
202	41	162
203	41	162
204	41	161
205	41	161
206	42	161
207	42	161
208	42	161
209	42	161
210	43	160
211	43	160
212	43	160
213	43	160
214	43	159
215	44	159
216	44	159
217	44	159
218	44	159
219	44	158
220	45	158
221	45	158
222	45	158
223	45	157
224	45	157
225	46	157
226	46	157
227	46	157
228	46	156
229	46	156
230	46	156
231	47	156
232	47	155
233	47	155
234	47	155
235	47	155
236	48	155
237	48	155
238	48	155
239	48	155
240	49	154
241	49	154
242	49	154
243	49	154
244	49	154
245	50	153
246	50	153
247	50	153
248	50	153
249	50	152
250	51	152
251	51	152
252	51	152
253	51	152
254	51	151
255	52	151
256	52	151
257	52	151
258	52	150
259	52	150
260	53	150
261	53	150
262	53	150
263	53	150
264	54	149
265	54	149
266	54	149
267	54	149
268	54	149
269	55	148
270	55	148
271	55	148
272	55	148
273	55	147
274	56	147
275	56	147
276	56	147
277	56	146
278	56	146
279	57	146
280	57	146
281	57	146
282	57	146
283	57	145
284	58	145
285	58	145
286	58	145
287	58	144
288	58	144
289	59	144
290	59	144
291	59	144
292	59	143
293	59	143
294	59	143
295	60	143
296	60	142
297	60	142
298	60	142
299	60	142
300	61	142
301	61	141
302	61	141
303	61	141
304	61	141
305	62	141
306	62	140
307	62	140
308	62	140
309	62	140
310	63	139
311	63	139
312	63	139
313	63	139
314	64	139
315	64	139
316	64	138
317	64	138
318	64	138
319	65	138
320	65	137
321	65	137
322	65	137
323	65	137
324	65	137
325	66	136
326	66	136
327	66	136
328	66	136
329	66	135
330	67	135
331	67	135
332	67	135
333	67	135
334	67	134
335	68	134
336	68	134
337	68	134
338	68	133
339	68	133
340	69	133
341	69	133
342	69	133
343	69	132
344	69	132
345	70	132
346	70	132
347	70	132
348	70	131
349	70	131
350	71	131
351	71	131
352	71	131
